,Headline,Date,Time,link,Publisher
0,Top 10 Data Science Jobs to Apply for in Jan 2023,2023-01-10,09:21:13,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3RvcC0xMC1kYXRhLXNjaWVuY2Utam9icy10by1hcHBseS1mb3ItaW4tamFuLTIwMjMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
1,"NBCU Merges Research, Data Science Ops Across All TV and Streaming Divisions Under Peacock’s Will Gonzalez",2023-01-11,19:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LnlhaG9vLmNvbS9lbnRlcnRhaW5tZW50L25iY3UtbWVyZ2VzLXJlc2VhcmNoLWRhdGEtc2NpZW5jZS0xOTAwMDA4MzYuaHRtbNIBXGh0dHBzOi8vd3d3LnlhaG9vLmNvbS9hbXBodG1sL2VudGVydGFpbm1lbnQvbmJjdS1tZXJnZXMtcmVzZWFyY2gtZGF0YS1zY2llbmNlLTE5MDAwMDgzNi5odG1s?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
2,Top 10 Ph.D. Data Science Courses to Enrol for in 2023,2023-01-09,09:18:52,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3RvcC0xMC1waC1kLWRhdGEtc2NpZW5jZS1jb3Vyc2VzLXRvLWVucm9sLWZvci1pbi0yMDIzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
3,Data Science vs Software Engineering: Do You Know the Difference?,2023-01-09,13:37:34,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2RhdGEtc2NpZW5jZS12cy1zb2Z0d2FyZS1lbmdpbmVlcmluZy1kby15b3Uta25vdy10aGUtZGlmZmVyZW5jZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
4,Creating non-dairy cheese with data science? This Bay Area founder says it's the future,2023-01-11,18:30:02,https://news.google.com/./articles/CBMiSmh0dHBzOi8vdGVjaHhwbG9yZS5jb20vbmV3cy8yMDIzLTAxLW5vbi1kYWlyeS1jaGVlc2Utc2NpZW5jZS1iYXktYXJlYS5odG1s0gFJaHR0cHM6Ly90ZWNoeHBsb3JlLmNvbS9uZXdzLzIwMjMtMDEtbm9uLWRhaXJ5LWNoZWVzZS1zY2llbmNlLWJheS1hcmVhLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
5,Seek lands $7.5M investment for AI that answers domain-specific questions,2023-01-11,14:00:51,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnlhaG9vLmNvbS9lbnRlcnRhaW5tZW50L3NlZWstbGFuZHMtNy01bS1pbnZlc3RtZW50LTE0MDA1MTI0Ni5odG1s0gFVaHR0cHM6Ly93d3cueWFob28uY29tL2FtcGh0bWwvZW50ZXJ0YWlubWVudC9zZWVrLWxhbmRzLTctNW0taW52ZXN0bWVudC0xNDAwNTEyNDYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
6,The Beginner's Guide to Understanding Data Science and Machine Learning,2022-12-21,08:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmVudHJlcHJlbmV1ci5jb20vc2NpZW5jZS10ZWNobm9sb2d5L3RoZS1iZWdpbm5lcnMtZ3VpZGUtdG8tdW5kZXJzdGFuZGluZy1kYXRhLXNjaWVuY2UtYW5kLzQ0MDI4NtIBAA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
7,4 data science predictions for 2023,2023-01-05,13:01:51,https://news.google.com/./articles/CBMiRmh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMy8wMS8wNS80LWRhdGEtc2NpZW5jZS1wcmVkaWN0aW9ucy1mb3ItMjAyMy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
8,These 4 free data- and cybersecurity-focused courses from IBM take just 10 hours to complete,2022-12-21,08:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL2ZvcnR1bmUuY29tL2VkdWNhdGlvbi9hcnRpY2xlcy90aGVzZS00LWZyZWUtZGF0YS1hbmQtY3liZXJzZWN1cml0eS1mb2N1c2VkLWNvdXJzZXMtZnJvbS1pYm0tdGFrZS1qdXN0LTEwLWhvdXJzLXRvLWNvbXBsZXRlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
9,Data science and analytics startup Tredence raises $175M to solve AI's last-mile problem,2022-12-22,08:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vc2lsaWNvbmFuZ2xlLmNvbS8yMDIyLzEyLzIyL2RhdGEtc2NpZW5jZS1hbmFseXRpY3Mtc3RhcnR1cC10cmVkZW5jZS1yYWlzZXMtMTc1bS1zb2x2ZS1haXMtbGFzdC1taWxlLXByb2JsZW0v0gEA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
10,What is data science? | UTSA Today,2023-01-09,10:48:33,https://news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3LnV0c2EuZWR1L3RvZGF5LzIwMjMvMDEvc3Rvcnkvd2hhdC1pcy1kYXRhLXNjaWVuY2UuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
11,"UTSA opens downtown data science school, announces new partnership with Census Bureau",2023-01-09,22:53:42,https://news.google.com/./articles/CBMicmh0dHBzOi8vc2FuYW50b25pb3JlcG9ydC5vcmcvdXRzYS1vcGVucy1kb3dudG93bi1kYXRhLXNjaWVuY2Utc2Nob29sLWFubm91bmNlcy1uZXctcGFydG5lcnNoaXAtd2l0aC1jZW5zdXMtYnVyZWF1L9IBdmh0dHBzOi8vc2FuYW50b25pb3JlcG9ydC5vcmcvdXRzYS1vcGVucy1kb3dudG93bi1kYXRhLXNjaWVuY2Utc2Nob29sLWFubm91bmNlcy1uZXctcGFydG5lcnNoaXAtd2l0aC1jZW5zdXMtYnVyZWF1Lz9hbXA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
12,"UTSA holds unveiling ceremony for San Pedro I, new downtown ...",2023-01-09,21:46:01,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LnRwci5vcmcvdGVjaG5vbG9neS1lbnRyZXByZW5ldXJzaGlwLzIwMjMtMDEtMDkvdXRzYS1ob2xkcy11bnZlaWxpbmctY2VyZW1vbnktZm9yLXNhbi1wZWRyby1pLW5ldy1kb3dudG93bi1mYWNpbGl0edIBiAFodHRwczovL3d3dy50cHIub3JnL3RlY2hub2xvZ3ktZW50cmVwcmVuZXVyc2hpcC8yMDIzLTAxLTA5L3V0c2EtaG9sZHMtdW52ZWlsaW5nLWNlcmVtb255LWZvci1zYW4tcGVkcm8taS1uZXctZG93bnRvd24tZmFjaWxpdHk_X2FtcD10cnVl?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
