,Headline,Date,Time,link,Publisher
10,"What borrowers need to know about Biden's proposed student loan repayment plan, which could cut some payments in half",2023-01-11,19:05:08,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDEvMTEvd2hhdC10by1rbm93LWFib3V0LWJpZGVucy1wbGFuLXRvLWN1dC1zdHVkZW50LWxvYW4tcGF5bWVudHMtaW4taGFsZi5odG1s0gFsaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMDEvMTEvd2hhdC10by1rbm93LWFib3V0LWJpZGVucy1wbGFuLXRvLWN1dC1zdHVkZW50LWxvYW4tcGF5bWVudHMtaW4taGFsZi5odG1s?hl=en-US&gl=US&ceid=US%3Aen,NBC News
11,Illinois becomes latest US state to ban assault weapons,2023-01-11,18:49:02,https://news.google.com/./articles/CBMiWGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvaWxsaW5vaXMtbGF0ZXN0LXVzLXN0YXRlLWJhbi1hc3NhdWx0LXdlYXBvbnMvc3Rvcnk_aWQ9OTYzNTY5MDbSAVxodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9VUy9pbGxpbm9pcy1sYXRlc3QtdXMtc3RhdGUtYmFuLWFzc2F1bHQtd2VhcG9ucy9zdG9yeT9pZD05NjM1NjkwNg?hl=en-US&gl=US&ceid=US%3Aen,NBC News
12,"Idaho murders: Bryan Kohberger search warrants sealed to prevent 'serious and imminent threat,' court docs",2023-01-11,19:47:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL2lkYWhvLW11cmRlcnMtYnJ5YW4ta29oYmVyZ2VyLXNlYXJjaC13YXJyYW50cy1zZWFsZWQtcHJldmVudC1zZXJpb3VzLWltbWluZW50LXRocmVhdC1jb3VydC1kb2Nz0gF-aHR0cHM6Ly93d3cuZm94bmV3cy5jb20vdXMvaWRhaG8tbXVyZGVycy1icnlhbi1rb2hiZXJnZXItc2VhcmNoLXdhcnJhbnRzLXNlYWxlZC1wcmV2ZW50LXNlcmlvdXMtaW1taW5lbnQtdGhyZWF0LWNvdXJ0LWRvY3MuYW1w?hl=en-US&gl=US&ceid=US%3Aen,NBC News
13,Jill Biden had three skin lesions removed,2023-01-11,21:52:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMy8wMS8xMS8xMTQ4MzMyNDE3L2ppbGwtYmlkZW4tc2tpbi1jYW5jZXItc3VyZ2VyedIBAA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
14,Rep. Barbara Lee tells colleagues she plans to run for Senate,2023-01-11,19:09:42,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL3BvbGl0aWNzLzIwMjQtZWxlY3Rpb24vcmVwLWJhcmJhcmEtbGVlLXNlbmF0ZS1ydW4tMjAyNC1jYWxpZm9ybmlhLXJjbmE2NTM3M9IBKmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL3JjbmE2NTM3Mw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
15,Arkansas Gov. Sarah Huckabee Sanders bans term 'Latinx' on her first day in office,2023-01-11,22:01:45,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvbGF0aW5vL2Fya2Fuc2FzLWdvdi1zYXJhaC1odWNrYWJlZS1zYW5kZXJzLWJhbnMtdGVybS1sYXRpbngtZmlyc3QtZGF5LW9mZmljZS1yY25hNjUzNTHSASpodHRwczovL3d3dy5uYmNuZXdzLmNvbS9uZXdzL2FtcC9yY25hNjUzNTE?hl=en-US&gl=US&ceid=US%3Aen,NBC News
16,GOP opens long-promised investigation into Biden family,2023-01-11,22:23:52,https://news.google.com/./articles/CBMijAFodHRwczovL2FwbmV3cy5jb20vYXJ0aWNsZS9iaWRlbi10ZWNobm9sb2d5LXBvbGl0aWNzLXVuaXRlZC1zdGF0ZXMtZ292ZXJubWVudC11cy1kZXBhcnRtZW50LW9mLXRoZS10cmVhc3VyeS1iODBlMzY1MzNmYThkYTg1MTk5ZmUzOTdkMmI1MGQ4NdIBAA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
17,Alito and Thomas encourage opponents of gun control laws to keep pressure on the courts,2023-01-11,20:22:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMS9wb2xpdGljcy9zdXByZW1lLWNvdXJ0LXNlY29uZC1hbWVuZG1lbnQtZ3Vucy1hbGl0by9pbmRleC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
18,Biden administration extends COVID-19 public health emergency yet again,2023-01-11,16:24:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL2JpZGVuLWFkbWluaXN0cmF0aW9uLWV4dGVuZHMtY292aWQtMTktcHVibGljLWhlYWx0aC1lbWVyZ2VuY3ktYWdhaW7SAWhodHRwczovL3d3dy5mb3huZXdzLmNvbS9wb2xpdGljcy9iaWRlbi1hZG1pbmlzdHJhdGlvbi1leHRlbmRzLWNvdmlkLTE5LXB1YmxpYy1oZWFsdGgtZW1lcmdlbmN5LWFnYWluLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
19,Search continues for 5-year-old boy swept away near San Miguel,2023-01-11,19:41:25,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmxhdGltZXMuY29tL2NhbGlmb3JuaWEvc3RvcnkvMjAyMy0wMS0xMS9taXNzaW5nLWJveS1zd2VwdC1hd2F5LWNhbGlmb3JuaWEtc3Rvcm3SAWVodHRwczovL3d3dy5sYXRpbWVzLmNvbS9jYWxpZm9ybmlhL3N0b3J5LzIwMjMtMDEtMTEvbWlzc2luZy1ib3ktc3dlcHQtYXdheS1jYWxpZm9ybmlhLXN0b3JtP19hbXA9dHJ1ZQ?hl=en-US&gl=US&ceid=US%3Aen,NBC News
20,U.S. House Republicans who bucked McCarthy are powered by small-dollar donors,2023-01-11,11:07:44,https://news.google.com/./articles/CBMiSWh0dHBzOi8vbmV3cy55YWhvby5jb20vdS1ob3VzZS1yZXB1YmxpY2Fucy1idWNrZWQtbWNjYXJ0aHktMTEwNzQ0MzgxLmh0bWzSAVFodHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvdS1ob3VzZS1yZXB1YmxpY2Fucy1idWNrZWQtbWNjYXJ0aHktMTEwNzQ0MzgxLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
21,"'Diamond,' of pro-Trump duo Diamond and Silk, dies at 51",2023-01-11,19:11:06,https://news.google.com/./articles/CBMiYmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2RpYW1vbmQtYW5kLXNpbGstZGVhZC1seW5ldHRlLWhhcmRhd2F5LTdiYTMwMjExMTY4N2E3MWU3Njg2ZGFkM2IwZjU3YTQz0gEA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
22,D.C. Residents Demand Answers After Teenager Is Fatally Shot,2023-01-11,20:46:44,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTEvdXMva2Fyb24tYmxha2Utc2hvb3Rpbmctd2FzaGluZ3Rvbi5odG1s0gFOaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAyMy8wMS8xMS91cy9rYXJvbi1ibGFrZS1zaG9vdGluZy13YXNoaW5ndG9uLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,NBC News
23,Uvalde school police chief admits he deliberately left kids in classroom,2023-01-11,20:20:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzAxLzExL3V2YWxkZS1zY2hvb2wtcG9saWNlLWNoaWVmLXBlZHJvLWFycmVkb25kby_SAU1odHRwczovL255cG9zdC5jb20vMjAyMy8wMS8xMS91dmFsZGUtc2Nob29sLXBvbGljZS1jaGllZi1wZWRyby1hcnJlZG9uZG8vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
24,Live updates: Brazil braces for new wave of pro-Bolsonaro demonstrations; court ruling effectively suspends the right to protest,2023-01-11,19:22:29,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS93b3JsZC8yMDIzLzAxLzExL2JyYXppbC1yaW90LWluc3VycmVjdGlvbi1ib2xzb25hcm8tbHVsYS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
25,Why Hitting the Debt Ceiling Would Be Very Bad for the U.S. Economy,2023-01-11,18:50:58,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTEvdXMvcG9saXRpY3MvZGVidC1jZWlsaW5nLWVjb25vbXktY29uZ3Jlc3MuaHRtbNIBVWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTEvdXMvcG9saXRpY3MvZGVidC1jZWlsaW5nLWVjb25vbXktY29uZ3Jlc3MuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
26,New York City nurses continue strike against 2 hospitals for 3rd day,2023-01-11,11:03:45,https://news.google.com/./articles/CBMiQGh0dHBzOi8vYWJjN255LmNvbS9ueWMtbnVyc2VzLXN0cmlrZS1kYXktMy1tb3VudC1zaW5haS8xMjY4Nzc5MS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
27,Democratic victory in Virginia special election likely dooms proposed abortion ban,2023-01-11,18:08:02,https://news.google.com/./articles/CBMieGh0dHBzOi8vbmV3cy55YWhvby5jb20vZGVtb2NyYXRpYy12aWN0b3J5LWluLXZpcmdpbmlhLXNwZWNpYWwtZWxlY3Rpb24tbGlrZWx5LWRvb21zLXByb3Bvc2VkLWFib3J0aW9uLWJhbi0xODA4MDI1NTAuaHRtbNIBgAFodHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvZGVtb2NyYXRpYy12aWN0b3J5LWluLXZpcmdpbmlhLXNwZWNpYWwtZWxlY3Rpb24tbGlrZWx5LWRvb21zLXByb3Bvc2VkLWFib3J0aW9uLWJhbi0xODA4MDI1NTAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
28,Real message from Kathy Hochul's State of the State? Escape from New York,2023-01-11,14:19:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzAxLzExL3JlYWwtbWVzc2FnZS1lc2NhcGUtZnJvbS1uZXcteW9yay_SAURodHRwczovL255cG9zdC5jb20vMjAyMy8wMS8xMS9yZWFsLW1lc3NhZ2UtZXNjYXBlLWZyb20tbmV3LXlvcmsvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
29,Search continues for missing 4-year-old Cyril girl reported missing Tuesday,2023-01-11,20:19:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LmtvY28uY29tL2FydGljbGUvb2tsYWhvbWEtbWlzc2luZy0zLXllYXItb2xkLWdpcmwtY3lyaWwvNDI0NTkwODXSAVBodHRwczovL3d3dy5rb2NvLmNvbS9hbXAvYXJ0aWNsZS9va2xhaG9tYS1taXNzaW5nLTMteWVhci1vbGQtZ2lybC1jeXJpbC80MjQ1OTA4NQ?hl=en-US&gl=US&ceid=US%3Aen,NBC News
30,School lunch debt returns as federal meal program comes to a halt,2023-01-11,23:15:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL2VkdWNhdGlvbi8yMDIzLzAxLzExL3NjaG9vbC1sdW5jaC1kZWJ0LXJldHVybnMvMTEwMDE4NzQwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
31,"25 Investigates: Hacksaw, blood-soaked rug found in search for missing Cohasset mother Ana Walshe",2023-01-11,12:07:23,https://news.google.com/./articles/CBMinAFodHRwczovL3d3dy5ib3N0b24yNW5ld3MuY29tL25ld3MvbG9jYWwvMjUtaW52ZXN0aWdhdGVzLWhhY2tzYXctYmxvb2Qtc29ha2VkLXJ1Zy1mb3VuZC1zZWFyY2gtbWlzc2luZy1jb2hhc3NldC1tb3RoZXItYW5hLXdhbHNoZS9NV1BFT0w3RUpOQVlUR0NHWjU3Q0g1UE5ITS_SAasBaHR0cHM6Ly93d3cuYm9zdG9uMjVuZXdzLmNvbS9uZXdzL2xvY2FsLzI1LWludmVzdGlnYXRlcy1oYWNrc2F3LWJsb29kLXNvYWtlZC1ydWctZm91bmQtc2VhcmNoLW1pc3NpbmctY29oYXNzZXQtbW90aGVyLWFuYS13YWxzaGUvTVdQRU9MN0VKTkFZVEdDR1o1N0NINVBOSE0vP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen,NBC News
32,"House Republicans launch investigations into FBI, China",2023-01-11,19:13:37,https://news.google.com/./articles/CBMid2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3BvbGl0aWNzLXVuaXRlZC1zdGF0ZXMtZ292ZXJubWVudC1jaGluYS11cy1yZXB1YmxpY2FuLXBhcnR5LTM3NzJlZTJhNjdlYmUzM2E1ZTQ1MjdiZjdkZTRkMzA10gEA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
33,First on CNN: Ukrainians to start training on Patriot missiles in US as soon as next week,2023-01-11,12:09:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMC9wb2xpdGljcy91a3JhaW5pYW5zLXBhdHJpb3QtbWlzc2lsZXMtZm9ydC1zaWxsL2luZGV4Lmh0bWzSAVxodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzAxLzEwL3BvbGl0aWNzL3VrcmFpbmlhbnMtcGF0cmlvdC1taXNzaWxlcy1mb3J0LXNpbGwvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
