,Headline,Date,Time,link,Publisher
12,Post Politics Now: House Republicans turn their attention to restricting abortion rights,2023-01-11,18:09:18,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9wb2xpdGljcy8yMDIzLzAxLzExL2hvdXNlLXJlcHVibGljYW5zLW1jY2FydGh5LWFib3J0aW9uLWJpZGVuL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
13,Republican-led House to take up abortion-related bills,2023-01-11,17:30:05,https://news.google.com/./articles/CCAiC1JTZEk1WEIwdG53mAEB?hl=en-US&gl=US&ceid=US%3Aen,MSNBC
14,House Republicans Kick Off First Week of Congress With 2 Abortion Votes,2023-01-10,18:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vbmV3cy55YWhvby5jb20vaG91c2UtcmVwdWJsaWNhbnMta2ljay1vZmYtZmlyc3QtMTgwMDAwMzM2Lmh0bWzSAU5odHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvaG91c2UtcmVwdWJsaWNhbnMta2ljay1vZmYtZmlyc3QtMTgwMDAwMzM2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,Yahoo News
15,GOP rep: Republicans ‘tone-deaf’ on abortion,2023-01-11,15:17:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3MvaG91c2UvMzgwODYzNi1nb3AtcmVwLXJlcHVibGljYW5zLXRvbmUtZGVhZi1vbi1hYm9ydGlvbi_SAVlodHRwczovL3RoZWhpbGwuY29tL2hvbWVuZXdzL2hvdXNlLzM4MDg2MzYtZ29wLXJlcC1yZXB1YmxpY2Fucy10b25lLWRlYWYtb24tYWJvcnRpb24vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,The Hill
16,Illinois becomes latest US state to ban assault weapons,2023-01-11,12:05:31,https://news.google.com/./articles/CBMiWGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvaWxsaW5vaXMtbGF0ZXN0LXVzLXN0YXRlLWJhbi1hc3NhdWx0LXdlYXBvbnMvc3Rvcnk_aWQ9OTYzNTY5MDbSAVxodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9VUy9pbGxpbm9pcy1sYXRlc3QtdXMtc3RhdGUtYmFuLWFzc2F1bHQtd2VhcG9ucy9zdG9yeT9pZD05NjM1NjkwNg?hl=en-US&gl=US&ceid=US%3Aen,ABC News
17,Assault weapon ban takes effect with Gov. JB Pritzker's signature,2023-01-11,04:23:09,https://news.google.com/./articles/CCAiC2RhWmtRUldfRENBmAEB?hl=en-US&gl=US&ceid=US%3Aen,CBS Chicago
18,"January 11, 2023 — Today's Biggest News Stories",2023-01-11,13:28:19,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmJ1enpmZWVkbmV3cy5jb20vYXJ0aWNsZS9hbGV4YWxlZTEvYW5kcmV3LXRhdGUtZmFpbGVkLWFwcGVhbC1wcmluY2UtaGFycnktc3BhcmUtaWxsaW5vaXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,BuzzFeed News
19,Gov. Pritzker signs assault weapons ban,2023-01-11,04:20:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmNic25ld3MuY29tL2NoaWNhZ28vbmV3cy9wcml0emtlci1zaWducy1pbGxpbm9pcy1hc3NhdWx0LXdlYXBvbnMtYmFuL9IBVWh0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9jaGljYWdvL25ld3MvcHJpdHprZXItc2lnbnMtaWxsaW5vaXMtYXNzYXVsdC13ZWFwb25zLWJhbi8?hl=en-US&gl=US&ceid=US%3Aen,CBS Chicago
20,Mega Millions Drawing: Jackpot soars to over $1.3B after no big winner Tuesday night,2023-01-11,17:23:34,https://news.google.com/./articles/CBMiV2h0dHBzOi8vYWJjN255LmNvbS9tZWdhLW1pbGxpb25zLWRyYXdpbmctd2lubmluZy1udW1iZXJzLWphY2twb3QtbWVnYW1pbGxpb25zLzEyNjg3NjM2L9IBW2h0dHBzOi8vYWJjN255LmNvbS9hbXAvbWVnYS1taWxsaW9ucy1kcmF3aW5nLXdpbm5pbmctbnVtYmVycy1qYWNrcG90LW1lZ2FtaWxsaW9ucy8xMjY4NzYzNi8?hl=en-US&gl=US&ceid=US%3Aen,WABC-TV
21,Mega Millions jackpot soars to $1.35 billion -- 2nd largest in history -- after no winner claimed Tuesday's prize,2023-01-11,11:49:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMS91cy9tZWdhLW1pbGxpb25zLWphY2twb3Qtd2VkbmVzZGF5L2luZGV4Lmh0bWzSAVBodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzAxLzExL3VzL21lZ2EtbWlsbGlvbnMtamFja3BvdC13ZWRuZXNkYXkvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,CNN
22,Winning numbers drawn for Mega Millions $1.1 billion jackpot,2023-01-11,06:17:55,https://news.google.com/./articles/CCAiC1JNTExBcUg4c2t3mAEB?hl=en-US&gl=US&ceid=US%3Aen,FOX 11 Los Angeles
