,Headline,Date,Time,link,Publisher
13,Flight disruptions could last days after FAA outage snarls U.S. travel,2023-01-11,18:45:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9idXNpbmVzcy9hZXJvc3BhY2UtZGVmZW5zZS91cy1mYWEtc2F5cy1mbGlnaHQtcGVyc29ubmVsLWFsZXJ0LXN5c3RlbS1ub3QtcHJvY2Vzc2luZy11cGRhdGVzLWFmdGVyLW91dGFnZS0yMDIzLTAxLTExL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Reuters
14,FAA pauses all US domestic flight departures,2023-01-11,13:08:24,https://news.google.com/./articles/CCAiCzluMWVyaFFVa1pvmAEB?hl=en-US&gl=US&ceid=US%3Aen,CNN
15,"FAA lifts airline ground stop as flight delays, cancellations pile up across the country",2023-01-11,11:22:40,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tYXJrZXRzL2h1bmRyZWRzLWZsaWdodHMtZ3JvdW5kZWQtbmF0aW9ud2lkZS1mYWEtZXhwZXJpZW5jZXMtY29tcHV0ZXItb3V0YWdl0gFsaHR0cHM6Ly93d3cuZm94YnVzaW5lc3MuY29tL21hcmtldHMvaHVuZHJlZHMtZmxpZ2h0cy1ncm91bmRlZC1uYXRpb253aWRlLWZhYS1leHBlcmllbmNlcy1jb21wdXRlci1vdXRhZ2UuYW1w?hl=en-US&gl=US&ceid=US%3Aen,Fox Business
16,"FAA outage: White House says 'no evidence of cyber attack,' Biden briefed on grounded flights",2023-01-11,13:23:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL2ZhYS1vdXRhZ2Utd2hpdGUtaG91c2Utc2F5cy1uby1ldmlkZW5jZS1jeWJlci1hdHRhY2stYmlkZW4tYnJpZWZlZC1ncm91bmRlZC1mbGlnaHRz0gF4aHR0cHM6Ly93d3cuZm94bmV3cy5jb20vcG9saXRpY3MvZmFhLW91dGFnZS13aGl0ZS1ob3VzZS1zYXlzLW5vLWV2aWRlbmNlLWN5YmVyLWF0dGFjay1iaWRlbi1icmllZmVkLWdyb3VuZGVkLWZsaWdodHMuYW1w?hl=en-US&gl=US&ceid=US%3Aen,Fox News
17,Illinois becomes latest US state to ban assault weapons,2023-01-11,12:05:31,https://news.google.com/./articles/CBMiWGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvaWxsaW5vaXMtbGF0ZXN0LXVzLXN0YXRlLWJhbi1hc3NhdWx0LXdlYXBvbnMvc3Rvcnk_aWQ9OTYzNTY5MDbSAVxodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9VUy9pbGxpbm9pcy1sYXRlc3QtdXMtc3RhdGUtYmFuLWFzc2F1bHQtd2VhcG9ucy9zdG9yeT9pZD05NjM1NjkwNg?hl=en-US&gl=US&ceid=US%3Aen,ABC News
18,Assault weapon ban takes effect with Gov. JB Pritzker's signature,2023-01-11,04:23:09,https://news.google.com/./articles/CCAiC2RhWmtRUldfRENBmAEB?hl=en-US&gl=US&ceid=US%3Aen,CBS Chicago
19,"January 11, 2023 — Today's Biggest News Stories",2023-01-11,13:28:19,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmJ1enpmZWVkbmV3cy5jb20vYXJ0aWNsZS9hbGV4YWxlZTEvYW5kcmV3LXRhdGUtZmFpbGVkLWFwcGVhbC1wcmluY2UtaGFycnktc3BhcmUtaWxsaW5vaXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,BuzzFeed News
20,Gov. Pritzker signs assault weapons ban,2023-01-11,04:20:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmNic25ld3MuY29tL2NoaWNhZ28vbmV3cy9wcml0emtlci1zaWducy1pbGxpbm9pcy1hc3NhdWx0LXdlYXBvbnMtYmFuL9IBVWh0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9jaGljYWdvL25ld3MvcHJpdHprZXItc2lnbnMtaWxsaW5vaXMtYXNzYXVsdC13ZWFwb25zLWJhbi8?hl=en-US&gl=US&ceid=US%3Aen,CBS Chicago
21,Mega Millions Drawing: Jackpot soars to over $1.3B after no big winner Tuesday night,2023-01-11,18:24:34,https://news.google.com/./articles/CBMiV2h0dHBzOi8vYWJjN255LmNvbS9tZWdhLW1pbGxpb25zLWRyYXdpbmctd2lubmluZy1udW1iZXJzLWphY2twb3QtbWVnYW1pbGxpb25zLzEyNjg3NjM2L9IBW2h0dHBzOi8vYWJjN255LmNvbS9hbXAvbWVnYS1taWxsaW9ucy1kcmF3aW5nLXdpbm5pbmctbnVtYmVycy1qYWNrcG90LW1lZ2FtaWxsaW9ucy8xMjY4NzYzNi8?hl=en-US&gl=US&ceid=US%3Aen,WABC-TV
22,Mega Millions jackpot soars to $1.35 billion -- 2nd largest in history -- after no winner claimed Tuesday's prize,2023-01-11,11:49:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMS91cy9tZWdhLW1pbGxpb25zLWphY2twb3Qtd2VkbmVzZGF5L2luZGV4Lmh0bWzSAVBodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzAxLzExL3VzL21lZ2EtbWlsbGlvbnMtamFja3BvdC13ZWRuZXNkYXkvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,CNN
